,0
0,0.28
1,0.2
2,0.41
3,0.22
4,0.24
5,0.26
6,0.22
7,0.37
8,0.32
9,0.32
10,0.39
11,0.14
12,0.37
13,0.24
14,0.25
15,0.25
16,0.38
17,0.34
18,0.22
19,0.34
20,0.19
21,0.23
22,0.31
23,0.27
24,0.33
25,0.28
26,0.27
