,0
0,0.8
1,0.8
2,0.7
3,0.7
4,0.65
5,0.65
6,0.9
7,0.9
8,0.55
9,0.55
10,0.8
11,0.8
12,0.6
13,0.6
14,0.75
15,0.75
16,0.55
17,0.55
18,0.65
19,0.65
