experiment,precisión
0,0.73
0,0.89
0,0.82
0,0.74
0,0.65
0,0.71
0,0.67
0,0.81
0,0.82
0,0.64
0,0.7
0,0.71
0,0.77
0,0.75
0,0.75
0,0.78
0,0.78
0,0.88
0,0.81
0,0.82
0,0.83
0,0.73
0,0.71
0,0.89
0,0.81
0,0.64
0,0.8
