experimento,precision
0,0.44
0,0.46
0,0.44
0,0.44
0,0.44
0,0.45
0,0.6
0,0.51
0,0.45
0,0.46
0,0.55
0,0.51
0,0.4
0,0.52
0,0.44
0,0.41
0,0.41
0,0.4
0,0.51
0,0.46
0,0.4
0,0.45
0,0.52
0,0.64
0,0.49
0,0.4
0,0.5
