precision,recall,f1-score
0.8,0.8,0.8
0.7,0.7,0.69
0.92,0.9,0.9
0.88,0.85,0.84
0.92,0.9,0.9
0.92,0.9,0.9
0.8,0.8,0.8
0.86,0.85,0.85
0.96,0.95,0.95
0.9,0.9,0.9
0.71,0.7,0.7
0.7,0.7,0.7
0.76,0.75,0.75
0.81,0.8,0.8
0.86,0.85,0.85
0.8,0.8,0.8
0.96,0.95,0.95
0.8,0.8,0.8
0.9,0.9,0.9
0.85,0.85,0.85
0.65,0.65,0.65
0.6,0.6,0.6
0.9,0.9,0.9
0.85,0.85,0.85
0.8,0.8,0.8
0.76,0.75,0.75
0.92,0.9,0.9
