precision,recall,f1-score
0.9,0.9,0.9
0.92,0.9,0.9
0.86,0.85,0.85
0.92,0.9,0.9
0.77,0.75,0.74
0.92,0.9,0.9
0.96,0.95,0.95
0.81,0.8,0.8
0.88,0.85,0.84
0.85,0.85,0.85
0.85,0.8,0.79
0.96,0.95,0.95
0.81,0.8,0.8
0.75,0.75,0.75
0.86,0.85,0.85
0.85,0.85,0.85
0.85,0.85,0.85
0.85,0.8,0.79
0.8,0.8,0.8
0.8,0.8,0.8
0.8,0.8,0.8
0.96,0.95,0.95
0.75,0.75,0.75
0.75,0.75,0.75
0.8,0.8,0.8
0.65,0.65,0.64
0.92,0.9,0.9
