precision,recall,f1-score
0.62,0.6,0.6
0.54,0.55,0.54
0.58,0.55,0.55
0.8,0.8,0.8
0.7,0.7,0.7
0.62,0.6,0.6
0.61,0.55,0.54
0.54,0.5,0.5
0.6,0.6,0.6
0.6,0.6,0.6
0.86,0.85,0.85
0.73,0.65,0.65
0.65,0.6,0.6
0.5,0.45,0.44
0.72,0.7,0.7
0.61,0.55,0.54
0.46,0.45,0.45
0.36,0.35,0.35
0.76,0.7,0.7
0.38,0.35,0.34
0.56,0.55,0.55
0.38,0.35,0.34
0.52,0.45,0.42
0.73,0.65,0.65
0.68,0.65,0.65
0.54,0.5,0.5
0.76,0.75,0.75
