precision,recall,f1-score
0.68,0.65,0.65
0.5,0.5,0.5
0.5,0.5,0.5
0.64,0.65,0.65
0.48,0.5,0.48
0.59,0.6,0.59
0.65,0.6,0.6
0.56,0.55,0.55
0.48,0.5,0.48
0.62,0.6,0.6
0.66,0.65,0.65
0.56,0.55,0.55
0.75,0.75,0.75
0.64,0.65,0.65
0.68,0.65,0.65
0.62,0.6,0.6
0.7,0.7,0.7
0.52,0.5,0.51
0.62,0.6,0.6
0.62,0.6,0.6
0.56,0.55,0.55
0.6,0.6,0.6
0.48,0.5,0.48
0.72,0.7,0.7
0.62,0.6,0.6
0.59,0.6,0.59
0.62,0.6,0.6
