precision,recall,f1-score
0.66,0.65,0.65
0.5,0.45,0.44
0.76,0.75,0.75
0.64,0.65,0.63
0.52,0.5,0.51
0.5,0.5,0.5
0.76,0.75,0.75
0.56,0.55,0.55
0.76,0.7,0.7
0.36,0.35,0.35
0.5,0.45,0.44
0.43,0.4,0.4
0.68,0.65,0.65
0.65,0.6,0.6
0.66,0.65,0.65
0.43,0.4,0.4
0.73,0.65,0.65
0.43,0.4,0.4
0.79,0.75,0.75
0.7,0.7,0.7
0.46,0.45,0.45
0.7,0.7,0.7
0.61,0.55,0.54
0.44,0.4,0.38
0.62,0.6,0.6
0.62,0.6,0.6
0.76,0.7,0.7
