precision,recall,f1-score
0.68,0.65,0.65
0.72,0.7,0.7
0.62,0.6,0.6
0.58,0.55,0.55
0.48,0.5,0.48
0.7,0.7,0.7
0.56,0.55,0.55
0.66,0.65,0.65
0.64,0.65,0.65
0.56,0.55,0.55
0.56,0.55,0.55
0.7,0.7,0.7
0.54,0.55,0.54
0.54,0.5,0.5
0.56,0.55,0.55
0.56,0.55,0.55
0.75,0.75,0.75
0.58,0.55,0.55
0.54,0.55,0.54
0.75,0.75,0.75
0.7,0.7,0.69
0.62,0.6,0.6
0.66,0.65,0.65
0.66,0.65,0.65
0.7,0.7,0.69
0.52,0.5,0.51
0.52,0.5,0.51
