class,prec
0,0.92
0,0.9
0,0.88
0,0.85
0,0.85
0,0.8
0,0.95
0,0.85
0,0.9
0,0.75
0,0.85
0,0.92
0,0.8
0,0.81
0,0.85
0,0.8
0,0.85
0,0.95
0,0.75
0,0.85
0,0.8
0,0.8
0,0.85
0,0.75
0,0.8
0,0.85
0,0.85
